22:03:13.770 [main] INFO  p.s.j.c.h.HwSpringBootApplication - Starting HwSpringBootApplication using Java 19.0.1 with PID 9204 (C:\Users\Пользователь\IdeaProjects\HW_Spring_Boot\target\classes started by Пользователь in C:\Users\Пользователь\IdeaProjects\HW_Spring_Boot)
22:03:13.772 [main] INFO  p.s.j.c.h.HwSpringBootApplication - No active profile set, falling back to 1 default profile: "default"
22:03:14.513 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22:03:14.588 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 64 ms. Found 2 JPA repository interfaces.
22:03:15.154 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
22:03:15.163 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
22:03:15.164 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22:03:15.165 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
22:03:15.250 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22:03:15.250 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1438 ms
22:03:15.434 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
22:03:15.500 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.2.Final
22:03:15.502 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
22:03:15.668 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
22:03:15.870 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
22:03:15.889 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
22:03:16.129 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7f6b57f2
22:03:16.131 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
22:03:16.310 [main] INFO  org.hibernate.orm.dialect - HHH035001: Using dialect: org.hibernate.dialect.PostgreSQLDialect, version: org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$DialectResolutionInfoImpl@134abd78
22:03:16.602 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
22:03:17.383 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
22:03:17.508 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
22:03:17.755 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
22:03:18.432 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
22:03:19.456 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5a429813, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@348b26e0, org.springframework.security.web.context.SecurityContextHolderFilter@59294f29, org.springframework.security.web.header.HeaderWriterFilter@47cce306, org.springframework.security.web.csrf.CsrfFilter@52caa9d8, org.springframework.security.web.authentication.logout.LogoutFilter@7a1148f2, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6b1cc2fb, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@7e544223, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@26ab3c1b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@30c96ea9, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@19fdcaba, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@98dc042, org.springframework.security.web.access.ExceptionTranslationFilter@37edb7fa, org.springframework.security.web.access.intercept.AuthorizationFilter@7a461744]
22:03:19.680 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
22:03:19.706 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
22:03:19.718 [main] INFO  p.s.j.c.h.HwSpringBootApplication - Started HwSpringBootApplication in 6.305 seconds (process running for 7.322)
22:03:38.582 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
22:03:38.582 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
22:03:38.585 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
22:03:46.857 [http-nio-8080-exec-9] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: pro.sky.java.course2.hw_spring_boot.controller.AdminEmployeeController
22:03:47.281 [http-nio-8080-exec-9] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: pro.sky.java.course2.hw_spring_boot.controller.ReportController
22:03:47.330 [http-nio-8080-exec-9] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: pro.sky.java.course2.hw_spring_boot.controller.InfoController
22:03:47.336 [http-nio-8080-exec-9] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: pro.sky.java.course2.hw_spring_boot.controller.EmployeeController
22:03:47.587 [http-nio-8080-exec-9] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 898 ms
22:06:05.113 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22:06:05.115 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
22:06:05.119 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
22:06:09.294 [main] INFO  p.s.j.c.h.HwSpringBootApplication - Starting HwSpringBootApplication using Java 19.0.1 with PID 15964 (C:\Users\Пользователь\IdeaProjects\HW_Spring_Boot\target\classes started by Пользователь in C:\Users\Пользователь\IdeaProjects\HW_Spring_Boot)
22:06:09.296 [main] INFO  p.s.j.c.h.HwSpringBootApplication - No active profile set, falling back to 1 default profile: "default"
22:06:09.975 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22:06:10.041 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 55 ms. Found 2 JPA repository interfaces.
22:06:10.532 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
22:06:10.541 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
22:06:10.541 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22:06:10.541 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
22:06:10.620 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22:06:10.621 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1288 ms
22:06:10.764 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
22:06:10.820 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.2.Final
22:06:10.821 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
22:06:10.939 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
22:06:11.096 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
22:06:11.114 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
22:06:11.270 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@25cde5bb
22:06:11.272 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
22:06:11.325 [main] INFO  org.hibernate.orm.dialect - HHH035001: Using dialect: org.hibernate.dialect.PostgreSQLDialect, version: org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$DialectResolutionInfoImpl@7c0de229
22:06:11.507 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
22:06:12.153 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
22:06:12.251 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
22:06:12.512 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
22:06:13.209 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
22:06:13.989 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@10374cae, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6298dafb, org.springframework.security.web.context.SecurityContextHolderFilter@749ebc39, org.springframework.security.web.header.HeaderWriterFilter@7ebefdfa, org.springframework.security.web.csrf.CsrfFilter@74aa29c7, org.springframework.security.web.authentication.logout.LogoutFilter@62a9d176, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2f803d8, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@6a2d1f6d, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@30741e9b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@52caa9d8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1f9af742, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1435b17, org.springframework.security.web.access.ExceptionTranslationFilter@1390cc4c, org.springframework.security.web.access.intercept.AuthorizationFilter@c6c5b66]
22:06:14.238 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
22:06:14.261 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
22:06:14.271 [main] INFO  p.s.j.c.h.HwSpringBootApplication - Started HwSpringBootApplication in 5.282 seconds (process running for 6.101)
22:07:25.389 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22:07:25.392 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
22:07:25.396 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
22:07:29.678 [main] INFO  p.s.j.c.h.HwSpringBootApplication - Starting HwSpringBootApplication using Java 19.0.1 with PID 1980 (C:\Users\Пользователь\IdeaProjects\HW_Spring_Boot\target\classes started by Пользователь in C:\Users\Пользователь\IdeaProjects\HW_Spring_Boot)
22:07:29.681 [main] INFO  p.s.j.c.h.HwSpringBootApplication - No active profile set, falling back to 1 default profile: "default"
22:07:30.545 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22:07:30.618 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 57 ms. Found 2 JPA repository interfaces.
22:07:31.103 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
22:07:31.113 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
22:07:31.114 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22:07:31.114 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
22:07:31.209 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22:07:31.210 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1481 ms
22:07:31.349 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
22:07:31.404 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.2.Final
22:07:31.407 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
22:07:31.523 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
22:07:31.692 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
22:07:31.706 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
22:07:31.848 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@30d15e4a
22:07:31.850 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
22:07:31.899 [main] INFO  org.hibernate.orm.dialect - HHH035001: Using dialect: org.hibernate.dialect.PostgreSQLDialect, version: org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$DialectResolutionInfoImpl@3dbb3fb7
22:07:32.118 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
22:07:32.806 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
22:07:32.917 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
22:07:33.195 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
22:07:34.039 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
22:07:34.975 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@55ed76e6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@943184c, org.springframework.security.web.context.SecurityContextHolderFilter@6298dafb, org.springframework.security.web.header.HeaderWriterFilter@34ccce55, org.springframework.security.web.csrf.CsrfFilter@47cce306, org.springframework.security.web.authentication.logout.LogoutFilter@47c14360, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4afdcdf6, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@34f4fd04, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@34949460, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1435b17, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4c04188, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1aac520e, org.springframework.security.web.access.ExceptionTranslationFilter@68c06a2, org.springframework.security.web.access.intercept.AuthorizationFilter@6f823df7]
22:07:35.215 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
22:07:35.237 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
22:07:35.246 [main] INFO  p.s.j.c.h.HwSpringBootApplication - Started HwSpringBootApplication in 5.9 seconds (process running for 6.756)
22:07:48.337 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
22:07:48.337 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
22:07:48.338 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
22:07:55.167 [http-nio-8080-exec-1] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: pro.sky.java.course2.hw_spring_boot.controller.AdminEmployeeController
22:07:55.584 [http-nio-8080-exec-1] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: pro.sky.java.course2.hw_spring_boot.controller.ReportController
22:07:55.628 [http-nio-8080-exec-1] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: pro.sky.java.course2.hw_spring_boot.controller.InfoController
22:07:55.635 [http-nio-8080-exec-1] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: pro.sky.java.course2.hw_spring_boot.controller.EmployeeController
22:07:55.859 [http-nio-8080-exec-1] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 845 ms
22:13:41.139 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22:13:41.142 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
22:13:41.146 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
22:13:45.523 [main] INFO  p.s.j.c.h.HwSpringBootApplication - Starting HwSpringBootApplication using Java 19.0.1 with PID 8336 (C:\Users\Пользователь\IdeaProjects\HW_Spring_Boot\target\classes started by Пользователь in C:\Users\Пользователь\IdeaProjects\HW_Spring_Boot)
22:13:45.525 [main] INFO  p.s.j.c.h.HwSpringBootApplication - No active profile set, falling back to 1 default profile: "default"
22:13:46.244 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22:13:46.307 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 49 ms. Found 2 JPA repository interfaces.
22:13:46.771 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
22:13:46.778 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
